"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4330734459","linkedin","https://www.linkedin.com/jobs/view/4330734459","","eCommerce Data Analyst","Corsair","Milpitas, CA","2026-02-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/corsair","","","","","","","","","","","",""
"li-4373344286","linkedin","https://www.linkedin.com/jobs/view/4373344286","","Associate Data Analyst","LatentView Analytics","San Jose, CA","2026-02-18","","","","","","",False,"","","","","","","https://in.linkedin.com/company/latentview-analytics","","","","","","","","","","","",""
"li-4366629697","linkedin","https://www.linkedin.com/jobs/view/4366629697","","Data Analyst","HockeyStack","San Francisco, CA","2026-02-18","","","","","","",False,"","","","","","","https://www.linkedin.com/company/hockeystack","","","","","","","","","","","",""
"li-4321559093","linkedin","https://www.linkedin.com/jobs/view/4321559093","","Product Data Analyst, Servicing","Upgrade, Inc.","San Francisco, CA","2026-02-18","","","","","","",False,"","","","","","","https://www.linkedin.com/company/upgrade-inc-","","","","","","","","","","","",""
"li-4373396835","linkedin","https://www.linkedin.com/jobs/view/4373396835","","Business-Data Analyst","Heyer Expectations LLC","Oakland, CA","2026-02-18","","","","","","",False,"","","","","","","https://www.linkedin.com/company/heyer-expectations-llc","","","","","","","","","","","",""
"li-4372623056","linkedin","https://www.linkedin.com/jobs/view/4372623056","","Data Analyst Intern (Summer 2026)","Okta","San Francisco, CA","2026-02-18","","","","","","",False,"","","","","","","https://www.linkedin.com/company/okta-inc-","","","","","","","","","","","",""
"li-4373334714","linkedin","https://www.linkedin.com/jobs/view/4373334714","","Consultant Data Analyst","LatentView Analytics","San Jose, CA","2026-02-18","","","","","","",False,"","","","","","","https://in.linkedin.com/company/latentview-analytics","","","","","","","","","","","",""
"li-4291964101","linkedin","https://www.linkedin.com/jobs/view/4291964101","","Data Analyst","Signify Technology","San Francisco, CA","","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/signify-technology","","","","","","","","","","","",""
"li-4375620028","linkedin","https://www.linkedin.com/jobs/view/4375620028","","Business Data Analyst","Cisco","San Jose, CA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cisco","","","","","","","","","","","",""
"li-4374044317","linkedin","https://www.linkedin.com/jobs/view/4374044317","","Data Analyst","AARATECH","","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/aaratechinc","","","","","","","","","","","",""
